node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
39,0.006503251625812906,8.099368011264867e-05,0.0,3.942971493107871e-41
40,0.003001500750375187,4.813989366834895e-06,0.0,6.758533273954652e-94
41,0.0,0.0,0.0,2.5206463634699766e-108
42,0.0,0.0,0.0,2.5206463634699766e-108
43,0.0,0.0,0.0,2.5206463634699766e-108
44,0.0,0.0,0.0,2.5206463634699766e-108
45,0.010505252626313155,1.0107307202452207e-06,0.1191551563284126,0.0068186738159251355
46,0.007503751875937968,4.123153064800662e-06,0.0,3.5759381589049694e-88
47,0.0,0.0,0.0,2.5206463634699766e-108
48,0.0015007503751875936,0.0,0.0,5.592396765263578e-102
49,0.002001000500250125,4.170837504170837e-06,0.0,3.371623528018908e-91
50,0.00400200100050025,0.00017474254078396115,0.10856643356643357,1.820130578556165e-19
51,0.003001500750375187,2.0060140300621263e-07,0.0,6.285280743487815e-97
52,0.0025012506253126563,0.0,0.0,5.592396765263578e-102
53,0.010005002501250625,4.583270684893596e-05,0.0,8.306897841053297e-54
54,0.0,0.0,0.0,2.5206463634699766e-108
55,0.0,0.0,0.0,2.5206463634699766e-108
56,0.0,0.0,0.0,2.5206463634699766e-108
57,0.010505252626313155,0.00019425009259464571,0.06802016110038155,1.0258297846471826e-81
58,0.003001500750375187,3.707702353360641e-05,0.0955787824904813,1.6900819437900003e-21
59,0.0,0.0,0.0,2.5206463634699766e-108
60,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
61,0.0,0.0,0.0,2.5206463634699766e-108
62,0.0,0.0,0.0,2.5206463634699766e-108
63,0.0050025012506253125,3.6087877876495096e-07,0.0,1.0305544622803635e-21
64,0.006003001500750374,1.9229800063397082e-05,0.0,1.2256019184832788e-93
65,0.0025012506253126563,1.3373426867080841e-06,0.0,3.416279509614405e-89
66,0.0,0.0,0.0,2.5206463634699766e-108
67,0.0005002501250625312,0.0,0.0,6.990004430538594e-104
68,0.0010005002501250625,0.0,0.0,7.049239620080134e-104
69,0.0080040020010005,2.2674403996829685e-07,0.0,1.401649026406049e-52
70,0.0,0.0,0.0,2.5206463634699766e-108
71,0.0,0.0,0.0,2.5206463634699766e-108
72,0.013006503251625811,0.00013025397460770142,0.07696577243293247,3.493172918154501e-49
73,0.0015007503751875936,0.0,0.0,5.948725417789145e-106
74,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
75,0.011005502751375688,6.612556847028199e-05,0.0,1.4472196476646139e-52
76,0.0005002501250625312,0.0,0.0,5.948725417789145e-106
77,0.0,0.0,0.0,2.5206463634699766e-108
78,0.0005002501250625312,0.0,0.0,5.948725417789145e-106
79,0.0,0.0,0.0,2.5206463634699766e-108
80,0.0,0.0,0.0,2.5206463634699766e-108
81,0.0,0.0,0.0,2.5206463634699766e-108
82,0.0,0.0,0.0,2.5206463634699766e-108
83,0.0,0.0,0.0,2.5206463634699766e-108
84,0.0010005002501250625,0.0,0.0,5.948725417789145e-106
85,0.0,0.0,0.0,2.5206463634699766e-108
86,0.0015007503751875936,3.169836503169836e-06,0.0,7.049239620080134e-104
87,0.0,0.0,0.0,2.5206463634699766e-108
88,0.013506753376688344,0.0002585975295362936,0.11817168338907469,2.2444596461433e-18
89,0.0,0.0,0.0,2.5206463634699766e-108
90,0.0005002501250625312,0.0,0.0,6.990004430538594e-104
91,0.006503251625812906,1.3703849574996998e-05,0.09444167987871915,2.3278640436063038e-18
92,0.006003001500750374,9.880906247179876e-06,0.0,1.99321476696147e-29
93,0.0,0.0,0.0,2.5206463634699766e-108
94,0.0,0.0,0.0,2.5206463634699766e-108
95,0.0015007503751875936,0.00014151699494811354,0.0,2.7554043984602488e-86
96,0.003001500750375187,4.8897550763519904e-05,0.0,7.501131556318494e-89
97,0.0,0.0,0.0,2.5206463634699766e-108
98,0.0,0.0,0.0,2.5206463634699766e-108
99,0.002001000500250125,9.342676009342674e-06,0.0,5.591804413368157e-102
100,0.0,0.0,0.0,2.5206463634699766e-108
101,0.003001500750375187,0.0002025478154899996,0.015050167224080268,4.200086659652721e-95
102,0.01250625312656328,0.00018365508986595175,0.11273320996018701,1.1551730301654204e-15
103,0.003001500750375187,0.0,0.0,1.1872244371943578e-105
104,0.0010005002501250625,0.0,0.0,1.1872244371943578e-105
105,0.0050025012506253125,3.2812570666861534e-05,0.09995835173849939,1.0885511833050292e-19
106,0.0,0.0,0.0,2.5206463634699766e-108
107,0.0050025012506253125,6.224546014588007e-07,0.0,2.253445799021895e-84
108,0.0005002501250625312,0.0,0.0,5.948725417789145e-106
109,0.0,0.0,0.0,2.5206463634699766e-108
110,0.0,0.0,0.0,2.5206463634699766e-108
111,0.0,0.0,0.0,2.5206463634699766e-108
112,0.0,0.0,0.0,2.5206463634699766e-108
113,0.005502751375687844,3.1188592973489996e-06,0.0,1.1859586325889044e-85
114,0.005502751375687844,1.0867726371197082e-05,0.0,1.2727682353690367e-81
115,0.0,0.0,0.0,2.5206463634699766e-108
116,0.009004502251125562,2.326770187388155e-06,0.020066889632107024,2.2088804700688293e-101
117,0.0015007503751875936,0.0,0.0,7.049239620080134e-104
118,0.0,0.0,0.0,2.5206463634699766e-108
119,0.0,0.0,0.0,2.5206463634699766e-108
120,0.012006003001500749,0.0004921373637048167,0.07834244228729913,7.593675886644617e-53
121,0.0,0.0,0.0,2.5206463634699766e-108
122,0.0,0.0,0.0,2.5206463634699766e-108
123,0.0,0.0,0.0,2.5206463634699766e-108
124,0.0,0.0,0.0,2.5206463634699766e-108
125,0.0,0.0,0.0,2.5206463634699766e-108
126,0.0,0.0,0.0,2.5206463634699766e-108
127,0.0,0.0,0.0,2.5206463634699766e-108
128,0.0,0.0,0.0,2.5206463634699766e-108
129,0.00400200100050025,9.509509509509509e-06,0.0,1.5398243915745564e-98
130,0.0,0.0,0.0,2.5206463634699766e-108
131,0.0080040020010005,6.488830265144697e-05,0.0,1.3845964784069081e-66
132,0.010005002501250625,1.7595851432395166e-06,0.0,1.2562760390420258e-97
133,0.0,0.0,0.0,2.5206463634699766e-108
134,0.0,0.0,0.0,2.5206463634699766e-108
135,0.0015007503751875936,0.0,0.0,2.5206463634699766e-108
136,0.0005002501250625312,0.0,0.0,5.948725417789145e-106
137,0.007503751875937968,7.703567392637343e-07,0.013935340022296544,2.7959261528245287e-103
138,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
139,0.013006503251625811,0.0007394570931267952,0.07853398860096,7.593708630704234e-53
140,0.0,0.0,0.0,2.5206463634699766e-108
141,0.0025012506253126563,7.856888284409994e-06,0.0,1.1872244371943578e-105
142,0.009504752376188093,2.455341786516683e-05,0.0,2.2183127270071275e-69
143,0.0,0.0,0.0,2.5206463634699766e-108
144,0.0,0.0,0.0,2.5206463634699766e-108
145,0.0,0.0,0.0,2.5206463634699766e-108
146,0.0,0.0,0.0,2.5206463634699766e-108
147,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
148,0.0015007503751875936,0.0,0.0,7.049239620080134e-104
149,0.0,0.0,0.0,2.5206463634699766e-108
150,0.007503751875937968,1.1066544262526126e-05,0.0,5.609547244158175e-27
151,0.0,0.0,0.0,2.5206463634699766e-108
152,0.0,0.0,0.0,2.5206463634699766e-108
153,0.0,0.0,0.0,2.5206463634699766e-108
154,0.006003001500750374,0.0001474057581588539,0.0,1.6860812081788353e-74
155,0.0,0.0,0.0,2.5206463634699766e-108
156,0.0,0.0,0.0,2.5206463634699766e-108
157,0.0,0.0,0.0,2.5206463634699766e-108
158,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
159,0.0010005002501250625,0.0,0.0,3.176492987890738e-100
160,0.002001000500250125,0.0,0.0,3.56282501389349e-61
161,0.0,0.0,0.0,2.5206463634699766e-108
162,0.0,0.0,0.0,2.5206463634699766e-108
163,0.0,0.0,0.0,2.5206463634699766e-108
164,0.004502251125562781,0.00010731370829672473,0.07326892109500806,6.733167543800553e-57
165,0.0,0.0,0.0,2.5206463634699766e-108
166,0.0,0.0,0.0,2.5206463634699766e-108
167,0.014007003501750874,5.086750708756176e-06,0.0,2.4130214250520023e-82
168,0.0,0.0,0.0,2.5206463634699766e-108
169,0.0,0.0,0.0,2.5206463634699766e-108
170,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
171,0.014007003501750874,0.0002537349781004535,0.04613078076346442,1.3063996445797641e-93
172,0.0025012506253126563,0.0,0.0,3.286238023554357e-100
173,0.009004502251125562,9.686865651948965e-05,0.0,5.782212341072314e-36
174,0.0,0.0,0.0,2.5206463634699766e-108
