frac_removed,lcc_frac,lcc_std,n_components
0.0,0.14999999999999997,2.7755575615628914e-17,1100.0
0.02,0.1472,0.0012688577540449532,1081.7
0.04,0.14435,0.001517399090549353,1061.5
0.06,0.14135,0.0025401771591760974,1042.5
0.08,0.1386,0.0022226110770892818,1023.3
0.1,0.13570000000000002,0.0022934689882359452,1002.2
0.12,0.13175,0.002112463017427763,984.7
0.14,0.12865000000000001,0.001775528090456472,964.3
0.16,0.12485000000000002,0.0023669600757089274,944.9
0.18,0.12154999999999998,0.0019678668654154446,926.5
0.2,0.11815,0.002480423350962489,908.5
0.22,0.11435,0.003761980861195334,889.9
0.24,0.1109,0.0035482389998420373,871.8
0.26,0.10790000000000002,0.0033526109228480426,850.6
0.28,0.10475000000000001,0.003195700236254959,830.3
0.3,0.10135000000000001,0.003741991448413529,813.3
